rank,stock_code,stock_name,market,url,value1,value2,value3
1,1305,iFreeETF TOPIX(年1回決算型),,https://finance.yahoo.co.jp/quote/1305.T,"3,30009/19","3,3402025/09/16","3,345"
2,1306,(NEXT FUNDS)TOPIX連動型上場投信,,https://finance.yahoo.co.jp/quote/1306.T,"3,26609/19","3,3072025/09/16","3,312"
3,1308,上場インデックスファンドTOPIX,,https://finance.yahoo.co.jp/quote/1308.T,"3,22609/19","3,2662025/09/16","3,272"
4,1311,(NEXT FUNDS)TOPIX Core30連動型上場投信,,https://finance.yahoo.co.jp/quote/1311.T,"1,63709/19","1,6542025/08/19","1,656"
5,1320,iFreeETF 日経225(年1回決算型),,https://finance.yahoo.co.jp/quote/1320.T,"46,28009/19","46,7602025/09/18","47,150"
6,1321,(NEXT FUNDS)日経225連動型上場投信,,https://finance.yahoo.co.jp/quote/1321.T,"46,39009/19","46,9102025/09/18","47,300"
7,1329,iシェアーズ・コア 日経225ETF,,https://finance.yahoo.co.jp/quote/1329.T,"4,65509/19","4,7012025/09/18","4,739"
8,2251,上場インデックスファンド225,,https://finance.yahoo.co.jp/quote/1330.T,"46,46009/19","46,9702025/09/18","47,330"
9,1346,MAXIS 日経225上場投信,,https://finance.yahoo.co.jp/quote/1346.T,"46,47009/19","46,9702025/09/18","47,360"
10,1348,MAXIS トピックス上場投信,,https://finance.yahoo.co.jp/quote/1348.T,"3,25809/19","3,2932025/09/16","3,300"
11,1358,上場インデックス日経レバレッジ指数,,https://finance.yahoo.co.jp/quote/1358.T,"65,40009/19","66,8402025/09/18","67,880"
12,1364,ｉシェアーズ JPX日経400 ETF,,https://finance.yahoo.co.jp/quote/1364.T,"2,88009/19","2,9182025/09/16","2,925"
13,1365,iFreeETF 日経平均レバレッジ・インデックス,,https://finance.yahoo.co.jp/quote/1365.T,"53,37009/19","54,4602025/09/18","55,310"
14,1367,iFreeETF TOPIXレバレッジ(2倍)指数,,https://finance.yahoo.co.jp/quote/1367.T,"46,62009/19","47,6902025/09/16","47,880"
15,2251,One ETF 日経225,,https://finance.yahoo.co.jp/quote/1369.T,"45,15009/19","45,6502025/09/18","45,940"
16,1376,カネコ種苗(株),,https://finance.yahoo.co.jp/quote/1376.T,"1,45209/19","1,4502025/09/18","1,454"
17,1382,(株)ホーブ,,https://finance.yahoo.co.jp/quote/1382.T,"2,91709/19","2,6002025/09/18","3,025"
18,1384,(株)ホクリヨウ,,https://finance.yahoo.co.jp/quote/1384.T,"2,43509/19","2,4102025/09/18","2,457"
19,1397,SMDAM 日経225上場投信,,https://finance.yahoo.co.jp/quote/1397.T,"45,54009/19","45,9702025/09/18","46,320"
20,1458,楽天 ETF-日経レバレッジ指数連動型,,https://finance.yahoo.co.jp/quote/1458.T,"41,13009/19","42,0102025/09/18","42,690"
21,1473,One ETF トピックス,,https://finance.yahoo.co.jp/quote/1473.T,"3,19709/19","3,2322025/09/16","3,234"
22,1475,iシェアーズ・コア TOPIX ETF,,https://finance.yahoo.co.jp/quote/1475.T,32209/19,3262025/09/16,326.2
23,1479,iFreeETF MSCI日本株人材設備投資指数,,https://finance.yahoo.co.jp/quote/1479.T,"40,00009/19","40,1602025/09/18","40,240"
24,1493,One ETF JPX日経中小型,,https://finance.yahoo.co.jp/quote/1493.T,"21,46509/19","21,7252025/09/16","21,870"
25,1495,上場インデックスファンドアジアリート,,https://finance.yahoo.co.jp/quote/1495.T,"11,23509/19","11,2652025/09/18","11,300"
26,1498,One ETF ESG,,https://finance.yahoo.co.jp/quote/1498.T,"24,87009/19","25,0502025/09/16","25,180"
27,UNK27,(株)カウリス,,https://finance.yahoo.co.jp/quote/153A.T,"2,48809/19","2,5822025/09/18","2,888"
28,1545,(NEXT FUNDS)NASDAQ-100(H無)連動型上場投信,,https://finance.yahoo.co.jp/quote/1545.T,"36,41009/19","36,2502025/09/18","36,590"
29,1547,上場インデックスファンド米国株式(S&P500),,https://finance.yahoo.co.jp/quote/1547.T,"10,66009/19","10,6502025/09/18","10,810"
30,1550,MAXIS 海外株式(MSCIコクサイ)上場投信,,https://finance.yahoo.co.jp/quote/1550.T,"6,56009/19","6,5722025/09/18","6,600"
31,1554,上場インデックス世界株式(MSCI ACWI)除く日本,,https://finance.yahoo.co.jp/quote/1554.T,"5,43609/19","5,4402025/09/17","5,471"
32,1557,SPDR S&P500  ETF,,https://finance.yahoo.co.jp/quote/1557.T,"97,50009/19","97,5502025/09/16","98,070"
33,1566,上場インデックスファンド新興国債券,,https://finance.yahoo.co.jp/quote/1566.T,"50,90009/19","51,1002025/09/08","51,170"
34,1568,TOPIXブル2倍上場投信,,https://finance.yahoo.co.jp/quote/1568.T,605.209/19,6182025/09/16,620.8
35,UNK35,マテリアルグループ(株),,https://finance.yahoo.co.jp/quote/156A.T,88009/19,8962025/09/17,899
36,1570,(NEXT FUNDS)日経平均レバレッジ上場投信,,https://finance.yahoo.co.jp/quote/1570.T,"34,66009/19","35,4302025/09/18","36,000"
37,1578,上場インデックスファンド日経225(ミニ),,https://finance.yahoo.co.jp/quote/1578.T,"3,59109/19","3,6302025/09/18","3,656"
38,1579,日経平均ブル2倍上場投信,,https://finance.yahoo.co.jp/quote/1579.T,373.209/19,3822025/09/18,387.8
39,1586,上場インデックス TOPIX Ex-Financials,,https://finance.yahoo.co.jp/quote/1586.T,"2,54209/19","2,5002025/09/16","2,542"
40,4001,(NEXT FUNDS) JPX日経インデックス400,,https://finance.yahoo.co.jp/quote/1591.T,"28,38509/19","28,7002025/09/16","28,790"
41,4001,上場インデックス JPX日経インデックス400,,https://finance.yahoo.co.jp/quote/1592.T,"2,59109/19","2,6242025/09/16","2,630"
42,1593,MAXIS JPX日経インデックス400上場投信,,https://finance.yahoo.co.jp/quote/1593.T,"29,05009/19","29,3402025/09/16","29,420"
43,4001,iFreeETF JPX日経400,,https://finance.yahoo.co.jp/quote/1599.T,"28,75509/19","29,0102025/09/16","29,120"
44,UNK44,(NEXT FUNDS) JPXプライム150指数連動型上場投信,,https://finance.yahoo.co.jp/quote/159A.T,58309/19,5892025/09/16,592.5
45,1618,(NEXT FUNDS)エネルギー資源上場投信,,https://finance.yahoo.co.jp/quote/1618.T,"24,49509/19","24,8152025/09/16","24,820"
46,1620,(NEXT FUNDS)素材･化学上場投信,,https://finance.yahoo.co.jp/quote/1620.T,"29,87009/19","30,2302025/09/16","30,500"
47,1625,(NEXT FUNDS)電機･精密上場投信,,https://finance.yahoo.co.jp/quote/1625.T,"42,35009/19","42,9002025/09/18","43,400"
48,1629,(NEXT FUNDS)商社･卸売上場投信,,https://finance.yahoo.co.jp/quote/1629.T,"100,25009/19","100,4002025/09/09","101,850"
49,UNK49,AIセレクトメガトレンド日本株(ネットリターン)ETN,,https://finance.yahoo.co.jp/quote/162A.T,"11,60509/19","11,5652025/09/18","11,630"
